Stock, buy price, sell price, percentage increase, Current Price, Rating
CZOO,  3.286199951171875,  4.094000005722046,  35.42982739854061,  2.740000009536743,  OverBought
BLIN,  1.0960000276565551,  1.2139999866485596,  10.825683979682802,  1.100000023841858,  Normal
AAOI,  14.521999931335449,  15.691799926757813,  7.990436939818135,  14.760000228881836,  OverBought
REBN,  1.3229999780654906,  1.483999991416931,  12.384616865914303,  1.5,  OverBought
HCWB,  1.5866000175476074,  1.7690000057220459,  10.922155261180778,  1.6699999570846558,  OverBought
GLSI,  13.110000038146973,  14.907999992370605,  12.132253652147993,  15.350000381469727,  OverBought
HOLO,  6.328000068664551,  7.8955999374389645,  29.410879760096336,  5.420000076293945,  OverBought
EDN,  16.135999870300292,  17.491999435424805,  8.675620954549274,  16.190000534057617,  OverBought
CULP,  4.646000003814697,  5.038000011444092,  8.132779951629718,  5.139999866485596,  OverBought
GANX,  4.538399887084961,  4.863200092315674,  7.000004624498435,  4.730000019073486,  OverBought
DQ,  23.495999908447267,  25.16999969482422,  6.4384607168344345,  28.049999237060547,  OverBought
EQ,  2.2559999942779543,  2.6100000381469726,  13.358491740730871,  2.6700000762939453,  OverBought
LPTH,  1.4480000257492065,  1.5279999732971192,  5.633799293357532,  1.4700000286102295,  OverBought
AMCX,  12.171999740600587,  12.917999839782714,  6.37606932772236,  11.850000381469727,  OverBought
BNTC,  4.69920015335083,  5.403999996185303,  14.806718675306366,  4.889999866485596,  OverBought
RAPT,  8.744000053405761,  9.354000091552734,  6.7552608658412545,  9.079999923706055,  OverBought
MODV,  30.734000396728515,  32.943999481201175,  6.839984495635294,  33.13999938964844,  OverBought
OIS,  5.349999904632568,  5.639999961853027,  5.301646587637224,  5.599999904632568,  OverBought
FNGR,  2.2959999561309816,  2.466800022125244,  7.7990895676524135,  2.2200000286102295,  OverBought
USAU,  3.525999975204468,  3.734000015258789,  5.777779043456689,  3.700000047683716,  OverBought
CRDO,  21.28400001525879,  22.575,  5.820558913337578,  22.219999313354492,  OverBought
EBS,  2.8640000343322756,  3.3019999980926515,  16.528299924443807,  2.690000057220459,  OverBought
GTHX,  3.477000045776367,  3.7290000438690187,  7.108603460344637,  3.640000104904175,  OverBought
PGRU,  3.184400033950806,  3.4070000648498535,  7.042076240393206,  3.3299999237060547,  OverBought
VAPO,  0.9790999889373779,  1.0559999704360963,  7.613859626221039,  1.0800000429153442,  OverBought
IMNN,  0.9139999985694885,  1.0240000009536743,  11.702127942892156,  1.0,  Normal
BBAI,  3.4799999713897707,  4.11680006980896,  25.269845366628175,  2.569999933242798,  OverBought
BNR,  0.7869999885559082,  0.8466000080108642,  7.621485812684554,  0.8019999861717224,  Oversold
RYTM,  41.1020004272461,  43.30999908447266,  5.402492573847342,  41.939998626708984,  OverBought
HROW,  11.000000190734863,  11.645999908447266,  5.981478762070713,  10.949999809265137,  OverBought
EGBN,  22.6,  23.87599983215332,  5.427476902300347,  23.68000030517578,  OverBought
LGMK,  1.027999997138977,  1.0980000019073486,  6.422018589430422,  1.1100000143051147,  Normal
ABEO,  7.839999866485596,  8.631999969482422,  10.102041933448131,  7.96999979019165,  OverBought
RDNT,  45.455999755859374,  48.28199996948242,  6.58280967513139,  46.5099983215332,  OverBought
EVLV,  3.634999990463257,  3.974000024795532,  8.88597717556169,  3.880000114440918,  OverBought
EGIO,  7.824000072479248,  8.930000114440919,  13.982301685170281,  8.65999984741211,  OverBought
ABOS,  4.330000019073486,  4.666200065612793,  7.9105893303366255,  4.369999885559082,  OverBought
OFS,  10.515999794006348,  11.131999969482422,  5.963215682726493,  10.460000038146973,  OverBought
PED,  0.6787999987602233,  0.7202000021934509,  6.070381900603397,  0.6940000057220459,  Oversold
EPOW,  0.7777999997138977,  0.93160001039505,  19.71795081057735,  0.875,  Normal
BTBT,  2.3209999561309815,  2.5839999675750733,  11.239317140635686,  2.4700000286102295,  OverBought
FORA,  2.756999969482422,  2.9476000308990478,  7.111942413018365,  2.869999885559082,  OverBought
TPCS,  4.509999942779541,  4.936000061035156,  10.167067122624648,  4.409999847412109,  OverBought
VERU,  0.5980000019073486,  0.649999988079071,  8.524587697093502,  0.6499999761581421,  Oversold
UPXI,  0.5463999748229981,  0.6294000029563904,  15.03623735736322,  0.5740000009536743,  Oversold
STOK,  6.996000003814697,  8.098000049591064,  14.772118500552967,  7.570000171661377,  OverBought
BARK,  1.3019999980926513,  1.447000002861023,  10.661764944352491,  1.3899999856948853,  OverBought
TRUP,  27.762000274658202,  29.70700035095215,  6.697658453770836,  29.549999237060547,  OverBought
UGRO,  1.9661999940872192,  2.160000038146973,  9.78788091883148,  1.9850000143051147,  OverBought
NWGL,  13.923000144958497,  17.78739986419678,  37.19345131419345,  11.244000434875488,  OverBought
LRHC,  1.7802000045776367,  2.1754000186920166,  22.441794762494958,  1.7699999809265137,  OverBought
QNCX,  1.137999987602234,  1.2490000009536744,  10.277778605620034,  1.1649999618530273,  OverBought
INSP,  185.71799926757814,  196.04960021972656,  5.2758008760382165,  198.5399932861328,  OverBought
GENK,  6.524000072479248,  7.326000022888183,  13.899479255806774,  6.070000171661377,  OverBought
Total = 223031817633700.3million
